Id,Reviews,Size,Installs,Type,Price
13907755,159,19456,10000,Free,0
59542006,967,14336,500000,Free,0
61794015,87510,8909,5000000,Free,0
53131416,967,2867,100000,Free,0
31219722,167,5734,50000,Free,0
52776148,178,19456,50000,Free,0
25286644,36815,29696,1000000,Free,0
21049454,13791,33792,1000000,Free,0
16505067,121,3174,10000,Free,0
15943482,13880,28672,1000000,Free,0
41287083,8788,12288,1000000,Free,0
48110912,44829,20480,10000000,Free,0
25863306,4326,21504,100000,Free,0
85052661,1518,37888,100000,Free,0
24454342,3632,5632,500000,Free,0
15295752,27,17408,10000,Free,0
66920204,194216,39936,5000000,Free,0
89563922,224399,31744,10000000,Free,0
68067386,450,14336,100000,Free,0
46121729,654,12288,100000,Free,0
40682439,7699,4301,500000,Free,0
11961429,118,23552,50000,Free,0
50989786,192,6144,10000,Free,0
62594394,20260,25600,500000,Free,0
48956524,203,6246,100000,Free,0
54340541,136,4710,10000,Free,0
96899369,223,4301,100000,Free,0
51125927,1120,9421,100000,Free,0
12990838,227,5325,50000,Free,0
20227336,5035,11264,100000,Free,0
48757681,1015,11264,100000,Free,0
63913749,353,4301,10000,Free,0
41025306,564,9421,100000,Free,0
11407184,8145,24576,500000,Free,0
20782483,158,11264,10000,Free,0
46145529,591,9626,500000,Free,0
89208333,117,15360,10000,Free,0
63532455,176,10240,100000,Free,0
19095110,2206,1229,100000,Free,0
97607292,26,12288,10000,Free,0
46705600,174531,24576,10000000,Free,0
68941377,1070,26624,100000,Free,0
91139807,85,8192,100000,Free,0
33965522,845,8090,100000,Free,0
81320147,367,25600,100000,Free,0
69571711,1598,57344,1000000,Free,0
26213933,284,58368,100000,Free,0
70462217,129,35840,100000,Free,0
69797733,542,33792,100000,Free,0
48697816,10479,33792,100000,Free,0
19393821,805,5734,50000,Free,0
44482229,129,55296,100000,Free,0
42290093,1403,201,100000,Free,0
42825182,3971,3686,100000,Free,0
92947372,534,5837,10000,Free,0
76119769,7774,17408,100000,Free,0
76864777,38846,8806,1000000,Free,0
67720667,2431,2458,100000,Free,0
59425769,6090,27648,100000,Free,0
37131350,295,2765,10000,Free,0
79112414,190,2560,50000,Free,0
14046796,52530,7168,5000000,Free,0
33464660,116986,35840,5000000,Free,0
74383505,1379,16384,500000,Free,0
51286155,736,0,100000,Free,0
22881262,7021,17408,500000,Free,0
32442329,197,3482,50000,Free,0
20659821,737,9114,100000,Free,0
62126119,3574,3994,1000000,Free,0
84469498,994,2970,100000,Free,0
65090336,197136,38912,1000000,Free,0
54874164,142,32768,50000,Free,0
48124184,15168,37888,1000000,Free,0
39976851,2155,15360,500000,Free,0
12714441,138,5530,100000,Free,0
78587334,5414,18432,1000000,Free,0
85919383,348,38912,100000,Free,0
76747400,250,1126,100000,Free,0
76175103,3617,8090,100000,Free,0
94089033,4806,35840,1000000,Free,0
84830932,31433,17408,1000000,Free,0
73851515,5097,19456,1000000,Free,0
14370478,1754,14336,500000,Free,0
46187898,2680,2253,500000,Free,0
30645555,1288,4608,100000,Free,0
59213855,18900,17408,500000,Free,0
42505333,49790,14336,1000000,Free,0
75041455,1150,10035,100000,Free,0
44291768,1739,21504,500000,Free,0
26117674,2225,53248,500000,Free,0
20160947,4369,14336,100000,Free,0
76153883,8572,25600,1000000,Free,0
38483995,964,9216,50000,Free,0
65161357,42050,0,1000000,Free,0
17893889,104,12288,10000,Free,0
85762478,601,35840,100000,Free,0
29746593,36,6861,10000,Free,0
65620049,187,30720,50000,Free,0
50814705,30,2970,10000,Free,0
65712798,134,17408,10000,Free,0
26058407,74,2970,10000,Free,0
71358539,9315,2662,1000000,Free,0
57184687,75,4301,50000,Free,0
43401380,38,7270,10000,Free,0
82119384,26834,58368,1000000,Free,0
40708405,2277,22528,500000,Free,0
62905763,2280,24576,500000,Free,0
42453430,184,21504,10000,Free,0
57451995,9,3482,5000,Free,0
26085421,364,6554,100000,Free,0
46704664,18,3277,5000,Free,0
73118390,473,8397,100000,Free,0
11622983,66,2970,10000,Free,0
29104797,3871,23552,1000000,Free,0
42657771,257,4710,50000,Free,0
38544486,62,3174,10000,Free,0
62425609,1857,5018,50000,Free,0
21146361,4478,9728,100000,Free,0
35659589,418,4301,100000,Free,0
80729536,22486,5530,1000000,Free,0
35527185,1435,2867,500000,Free,0
89763538,116507,5120,1000000,Free,0
83497218,90468,6042,5000000,Free,0
30299984,860,13312,100000,Free,0
56266242,363934,7270,10000000,Free,0
84425358,967,6861,500000,Free,0
61427318,17506,17408,1000000,Free,0
93567121,1862,19456,1000000,Free,0
24297368,2084,6861,500000,Free,0
92055214,47303,21504,1000000,Free,0
38614682,85842,37888,5000000,Free,0
57648963,7831,15360,100000,Free,0
53522016,91615,23552,5000000,Free,0
17579160,4620,19456,500000,Free,0
51779304,21336,23552,1000000,Free,0
41472406,26875,74752,500000,Free,0
75493112,1778,5018,500000,Free,0
71276551,2709,6963,1000000,Free,0
30789385,8342,0,10000000,Free,0
67138951,527,2970,100000,Free,0
72099806,1322,3584,100000,Free,0
42204451,1680,4096,100000,Free,0
13731713,2739,21504,50000,Free,0
68478450,1065,2355,500000,Free,0
13926695,8788,10240,1000000,Free,0
27308425,51269,6246,1000000,Free,0
31314198,30105,2150,1000000,Free,0
84059123,156,43008,500000,Free,0
69265072,341157,30720,10000000,Free,0
76454568,85185,29696,5000000,Free,0
36019933,70991,0,5000000,Free,0
